Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
482,Jarred Kelenic*,26,TEX,AL,0.0,17,24,20,2,4,0,0,0,2,0,1,4,11,.200,.333,.200,.533,61,.242,69,4,0,0,0,0,0,7H/89,,kelenja01
483,Zach Dezenzo,26,HOU,AL,0.2,35,82,75,11,16,4,0,1,3,1,0,7,31,.213,.280,.307,.587,68,.279,72,23,1,0,0,0,0,7H/D,,dezenza01
484,Ali Sánchez,29,NYY,AL,0.0,46,81,76,6,19,2,0,1,8,0,1,1,24,.250,.275,.316,.591,65,.270,67,24,2,2,1,1,0,2/H,,sanchal04
485,Kiké Hernández,34,LAD,NL,0.1,34,80,74,11,17,3,0,3,10,0,0,6,25,.230,.288,.392,.679,85,.297,80,29,0,0,0,0,0,53/87H14,,hernaen02
486,Alan Roden*,26,MIN,AL,0.0,28,79,67,6,17,4,0,0,10,0,0,9,11,.254,.333,.313,.647,85,.328,107,21,1,0,1,2,0,9/H7D,,rodenal01
487,Travis d'Arnaud,37,LAA,AL,0.3,30,77,69,7,12,3,0,1,3,0,0,6,23,.174,.260,.261,.521,51,.255,59,18,1,2,0,0,0,2/HD,,darnatr01
488,Sterlin Thompson*,25,COL,NL,-0.3,27,77,69,7,16,4,0,2,10,0,0,5,21,.232,.312,.377,.688,80,.305,74,26,3,3,0,0,0,7D/9H,,thompst01
489,Brian Serven,31,ATH,AL,0.1,25,76,72,8,14,1,0,5,14,0,0,3,19,.194,.237,.417,.654,76,.281,68,30,2,1,0,0,0,2/DH,,servebr01
490,Denzel Clarke,26,ATH,AL,-0.4,31,74,65,5,10,1,0,0,6,2,0,6,26,.154,.225,.169,.395,11,.196,-1,11,1,0,3,0,0,8/H,,clarkde02
491,Bryan De La Cruz,29,PHI,NL,0.2,30,74,66,10,20,3,0,2,12,0,0,4,16,.303,.351,.439,.791,111,.353,114,29,2,2,0,2,0,97/H,,delacbr01
492,Austin Slater,33,3TM,2LG,-0.1,28,74,65,6,15,3,0,0,3,4,0,8,21,.231,.311,.277,.588,68,.289,70,18,1,0,0,1,0,9H/7D,,slateau01
492,Austin Slater,33,2TM,NL,-0.2,21,49,43,4,9,1,0,0,2,1,0,5,15,.209,.286,.233,.518,49,.260,56,10,1,0,0,1,0,9H/7D,,slateau01
492,Austin Slater,33,MIA,NL,0.0,12,28,23,1,4,0,0,0,1,1,0,4,9,.174,.286,.174,.460,35,.234,35,4,0,0,0,1,0,/9H,,slateau01
492,Austin Slater,33,NYM,NL,-0.1,9,21,20,3,5,1,0,0,1,0,0,1,6,.250,.286,.300,.586,66,.294,83,6,1,0,0,0,0,/H7D9,,slateau01
492,Austin Slater,33,TBR,AL,0.0,7,25,22,2,6,2,0,0,1,3,0,3,6,.273,.360,.364,.724,104,.347,98,8,0,0,0,0,0,/97H,,slateau01
493,Romy González,29,BOS,AL,-0.4,19,73,65,7,12,3,1,1,7,1,1,5,21,.185,.264,.308,.572,62,.253,57,20,3,2,1,0,0,/D34H,,gonzaro01
494,Alex Jackson,30,MIN,AL,0.4,32,72,68,12,21,4,0,1,5,0,0,2,24,.309,.347,.412,.759,114,.328,107,28,0,2,0,0,0,2/HD13,,jacksal02
495,Adael Amador#,23,COL,NL,0.5,18,67,59,15,17,3,0,4,13,0,0,6,10,.288,.364,.542,.906,133,.381,130,32,0,1,1,0,1,4/DH,,amadoad01
496,Brock Rodden#,26,SEA,AL,-0.4,27,67,57,8,12,3,1,0,4,0,2,9,22,.211,.313,.298,.612,79,.277,88,17,0,0,0,1,0,56/H4D,,roddebr01
497,Leo Bernal#,22,STL,NL,0.6,15,65,61,8,18,3,0,3,15,0,1,4,12,.295,.338,.492,.830,135,.353,135,30,1,0,0,0,0,2/D3,,bernale01
498,Cam Cauley,23,TEX,AL,-0.4,34,65,58,10,12,3,1,1,1,1,0,5,15,.207,.281,.345,.626,82,.294,88,20,2,1,1,0,0,H48/967D,,cauleca01
499,Nick Madrigal,29,2TM,AL,0.6,19,63,54,8,15,2,0,0,3,1,1,7,3,.278,.365,.315,.680,98,.320,107,17,1,1,0,1,0,4/5DH6,,madrini01
499,Nick Madrigal,29,LAA,AL,0.7,15,52,44,7,12,1,0,0,2,1,1,7,3,.273,.385,.295,.680,100,.328,115,13,1,1,0,0,0,/45DH,,madrini01
499,Nick Madrigal,29,TBR,AL,-0.1,4,11,10,1,3,1,0,0,1,0,0,0,0,.300,.273,.400,.673,86,.279,70,4,0,0,0,1,0,/46H,,madrini01
500,Brett Callahan*,24,DET,AL,0.1,24,62,56,3,12,3,1,1,8,0,0,4,22,.214,.274,.357,.631,76,.291,79,20,0,1,0,1,0,7/H9D,,callabr01
501,Joshua Kuroda-Grauer,23,ATH,AL,0.7,16,62,60,8,25,7,0,1,4,0,1,1,7,.417,.435,.583,1.019,178,.448,192,35,3,1,0,0,0,5/46,,kurodjo01
502,Zack Short,31,2TM,2LG,-0.3,29,62,50,4,7,2,0,0,2,0,0,8,19,.140,.262,.180,.442,28,.219,25,9,0,1,1,2,0,6/4H1,,shortza01
502,Zack Short,31,DET,AL,0.1,23,46,36,3,6,2,0,0,2,0,0,7,12,.167,.304,.222,.527,51,.255,54,8,0,1,0,2,0,6/H4,,shortza01
502,Zack Short,31,NYM,NL,-0.4,6,16,14,1,1,0,0,0,0,0,0,1,7,.071,.133,.071,.205,-40,.107,-60,1,0,0,1,0,0,/461H,,shortza01
503,Zac Veen*,24,COL,NL,-0.2,29,61,52,7,13,2,1,2,12,1,0,6,23,.250,.339,.442,.781,103,.344,100,23,0,1,2,0,0,7H/98,,veenza01
504,Santiago Espinal,31,LAD,NL,0.0,36,60,56,5,15,3,0,1,7,0,0,1,8,.268,.276,.375,.651,78,.283,69,21,5,0,2,1,0,54H/3D,,espinsa01
505,Ryan Ward*,28,LAD,NL,0.2,20,60,55,8,12,4,0,3,12,0,0,5,17,.218,.283,.455,.738,99,.316,94,25,2,0,0,0,0,7/3DH,,wardry01
506,Garrett Stubbs*,33,PHI,NL,-0.4,33,59,54,11,9,0,0,0,3,0,0,2,12,.167,.220,.167,.387,6,.183,-8,9,0,2,0,1,0,2/H13D57,,stubbga01
507,Luis Urías,29,TOR,AL,0.5,26,59,52,5,13,3,0,3,8,0,0,6,10,.250,.322,.481,.803,118,.344,113,25,2,0,0,1,0,4/H,,uriaslu01
508,Jonathan India,29,KCR,AL,0.2,17,58,48,8,8,1,0,2,8,0,0,8,13,.167,.310,.313,.623,78,.305,92,15,0,2,0,0,0,4/H,,indiajo01
509,Andrew Knizner,31,SFG,NL,-0.2,21,58,52,6,11,3,0,2,4,0,0,4,11,.212,.293,.385,.678,90,.299,88,20,2,2,0,0,0,2/H,,kniznan01
510,Jesús Rodríguez,24,SFG,NL,-0.1,22,58,51,7,12,3,0,2,8,1,1,5,8,.235,.316,.412,.728,104,.317,104,21,2,1,1,0,0,2/H794D,,rodrije02
511,Rece Hinds,25,3TM,2LG,-0.5,21,58,51,2,8,4,0,0,6,0,0,4,26,.157,.224,.235,.459,30,.208,21,12,0,1,0,2,0,9/H87D,,hindsre01
511,Rece Hinds,25,2TM,NL,-0.4,13,38,35,2,4,3,0,0,5,0,0,1,19,.114,.158,.200,.358,-1,.160,-14,7,0,1,0,1,0,9/DH,,hindsre01
511,Rece Hinds,25,CIN,NL,-0.3,12,36,33,2,4,3,0,0,5,0,0,1,18,.121,.167,.212,.379,5,.169,-8,7,0,1,0,1,0,9/HD,,hindsre01
511,Rece Hinds,25,MIA,NL,-0.1,1,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,.000,-126,0,0,0,0,0,0,/D,,hindsre01
511,Rece Hinds,25,BAL,AL,-0.1,8,20,16,0,4,1,0,0,1,0,0,3,7,.250,.350,.313,.663,91,.298,88,5,0,0,0,1,0,/879H,,hindsre01
512,Sebastián Rivero,27,LAA,AL,0.1,24,57,53,5,13,2,0,0,8,0,0,3,12,.245,.286,.283,.569,65,.258,61,15,1,0,1,0,0,2/H,,riverse01
513,Yohel Pozo,29,2TM,2LG,0.0,34,55,53,4,14,1,0,1,7,0,0,1,6,.264,.273,.340,.612,74,.301,91,18,6,0,0,1,0,2H/D3,,pozoyo01
513,Yohel Pozo,29,STL,NL,-0.1,18,33,33,0,8,1,0,0,5,0,0,0,3,.242,.242,.273,.515,48,.284,81,9,5,0,0,0,0,/HD23,,pozoyo01
513,Yohel Pozo,29,BAL,AL,0.1,16,22,20,4,6,0,0,1,2,0,0,1,3,.300,.318,.450,.768,116,.326,108,9,1,0,0,1,0,2/H,,pozoyo01
514,LuJames Groover,24,ARI,NL,-0.2,15,54,48,4,8,2,0,1,4,0,0,5,11,.167,.259,.271,.530,48,.246,45,13,3,1,0,0,0,/3D5,,groovlu01
515,Brian Navarreto,31,MIA,NL,0.0,28,54,46,7,6,2,0,1,3,0,0,2,18,.130,.196,.239,.435,23,.196,9,11,0,2,3,1,0,2/H,,navarbr01
516,Bryce Teodosio,27,LAA,AL,-0.2,35,54,49,5,10,2,0,0,2,4,1,4,18,.204,.264,.245,.509,48,.236,39,12,1,0,1,0,0,78/H9,,teodobr01
