pitcher,pitch_type,n,naive_in,inferred_in
Alek Manoah,FF,105,12.898847405260506,11.913110284821174
Alek Manoah,SI,105,14.730818510277219,11.419484491038503
Alek Manoah,SL,116,12.38948379989981,10.050979456306631
Alex Cobb,ALL,318,10.96007051010756,8.89281447006639
Alex Cobb,FF,3,15.188995144164952,13.996293685201158
Alex Cobb,FS,134,11.705510365885484,8.314637588017584
Alex Cobb,KC,41,11.367540991489525,11.522189579427414
Alex Cobb,SI,140,10.21369807440346,8.91304902180228
Alex Faedo,ALL,961,12.640732664774516,10.017028035073443
Alex Faedo,CH,188,14.581444391844837,9.891381499484599
Alex Faedo,FF,340,11.196390402002155,10.449920963642985
Alex Faedo,SI,52,12.084834267178223,9.404509748720443
Alex Faedo,SL,381,12.62201823569847,9.806051394658091
Alex Lange,ALL,360,13.428949403601056,10.835038059143855
Alex Lange,CH,27,18.247199265198514,13.104359717145815
Alex Lange,FF,43,12.1757460554478,10.800651005876901
Alex Lange,SI,86,10.258013480246976,9.914122457510675
Alex Lange,SL,204,14.329146802089316,11.212444740642091
Alex Speas,ALL,37,13.890853560475756,11.623038578638313
Alex Speas,FC,5,12.254357737419586,12.73592789981651
Alex Speas,FF,7,12.283280020910098,10.543526135636883
Alex Speas,SL,22,15.067189833249287,12.160751210767867
Alex Speas,ST,3,13.890853560475756,9.419223009663988
Alex Vesia,ALL,1094,11.909470784921805,10.127692170336832
Alex Vesia,CH,55,11.509319899659749,11.17694262553164
Alex Vesia,FF,693,13.00787381062375,10.089770705780511
Alex Vesia,SI,1,14.777304448241635,5.362305357720159
Alex Vesia,SL,345,9.95576184645481,10.198652877560248
Alex Wood,ALL,637,10.149027414082033,9.047427480453111
Alex Wood,CH,147,8.065058328462806,8.231983305404771
Alex Wood,FF,1,3.615966615606432,2.486913977098159
Alex Wood,SI,297,10.043586661605353,8.79745802692403
Alex Wood,SL,192,12.253455869274799,10.440552089291389
Alex Young,ALL,257,13.95959092183064,9.546566516178954
Alex Young,CH,119,18.938567624835073,9.935311634838335
Alex Young,CU,37,10.283894184373063,7.099592396262694
Alex Young,FF,2,8.000389036001206,4.341740162410474
Alex Young,SI,98,11.065871761673783,9.810088756732796
Alex Young,SL,1,2.1731383728798566,13.511775668023464
Alexis Díaz,ALL,917,13.312320567640567,10.601638020884346
Alexis Díaz,FF,542,14.847447975549187,10.447170974882532
Alexis Díaz,SL,375,11.713861017289243,10.774126160582224
Allan Winans,ALL,145,11.579112927917164,9.860128426353677
Allan Winans,CH,59,9.913783996002152,7.540531615563278
Allan Winans,FF,23,10.568024922288279,10.980510044877152
Allan Winans,SI,34,12.021739350551686,8.505166573341231
Allan Winans,ST,29,14.078948972734038,13.961266158859358
Amir Garrett,ALL,96,12.719257522603161,10.760173290964575
Amir Garrett,FF,34,13.88091416151786,13.012765243398993
Amir Garrett,SI,1,10.093510475576533,7.866957650856675
Amir Garrett,SL,61,12.276099350547755,10.362422486751157
Amos Willingham,ALL,19,9.499503853150763,8.287616430572575
Amos Willingham,FC,4,8.80127981465461,6.076816191948719
Amos Willingham,FF,12,16.63860989407511,9.444981457144536
Amos Willingham,SL,3,8.175540498962809,7.657102331183511
Andre Pallante,ALL,1715,10.961865742584274,10.422728700290305
Andre Pallante,FF,850,10.069547596488214,10.068865395058491
Andre Pallante,KC,215,16.648284084669726,13.615033856995023
Andre Pallante,SI,347,10.93504159293674,9.996237312825393
Andre Pallante,SL,303,10.16201598177038,10.422728700290305
Andrew Abbott,ALL,2210,10.914412594180092,9.930266174979412
Andrew Abbott,CH,357,10.3528164597145,10.638683046500432
Andrew Abbott,CU,250,10.69071858266597,10.123084161031283
Andrew Abbott,FF,1200,11.077562742192239,9.521181687532895
Andrew Abbott,SL,5,16.090165552879647,15.315398529887059
